Height/km,Air Density/ kg/km^3
380,4.012770E-03
380.5,3.976455E-03
381,3.940494E-03
381.5,3.904882E-03
382,3.869617E-03
382.5,3.834696E-03
383,3.800112E-03
383.5,3.765865E-03
384,3.731949E-03
384.5,3.698362E-03
385,3.665100E-03
385.5,3.632158E-03
386,3.599537E-03
386.5,3.567228E-03
387,3.535233E-03
387.5,3.503543E-03
388,3.472162E-03
388.5,3.441081E-03
389,3.410297E-03
389.5,3.379811E-03
390,3.349616E-03
390.5,3.319710E-03
391,3.290093E-03
391.5,3.260756E-03
392,3.231702E-03
392.5,3.202925E-03
393,3.174421E-03
393.5,3.146191E-03
394,3.118227E-03
394.5,3.090533E-03
395,3.063100E-03
395.5,3.035929E-03
396,3.009014E-03
396.5,2.982355E-03
397,2.955951E-03
397.5,2.929795E-03
398,2.903887E-03
398.5,2.878225E-03
399,2.852804E-03
399.5,2.827623E-03
400,2.802681E-03
400.5,2.777974E-03
401,2.753499E-03
401.5,2.729254E-03
402,2.705239E-03
402.5,2.681449E-03
403,2.657881E-03
403.5,2.634535E-03
404,2.611409E-03
404.5,2.588498E-03
405,2.565802E-03
405.5,2.543319E-03
406,2.521046E-03
406.5,2.498980E-03
407,2.477122E-03
407.5,2.455466E-03
408,2.434012E-03
408.5,2.412759E-03
409,2.391704E-03
409.5,2.370844E-03
410,2.350178E-03
410.5,2.329704E-03
411,2.309419E-03
411.5,2.289323E-03
412,2.269414E-03
412.5,2.249688E-03
413,2.230146E-03
413.5,2.210784E-03
414,2.191601E-03
414.5,2.172595E-03
415,2.153765E-03
415.5,2.135107E-03
416,2.116623E-03
416.5,2.098308E-03
417,2.080162E-03
417.5,2.062182E-03
418,2.044368E-03
418.5,2.026716E-03
419,2.009229E-03
419.5,1.991901E-03
420,1.974731E-03
420.5,1.957719E-03
421,1.940862E-03
421.5,1.924160E-03
422,1.907611E-03
422.5,1.891212E-03
423,1.874964E-03
423.5,1.858863E-03
424,1.842909E-03
424.5,1.827101E-03
425,1.811436E-03
425.5,1.795914E-03
426,1.780534E-03
426.5,1.765293E-03
427,1.750189E-03
427.5,1.735225E-03
428,1.720394E-03
428.5,1.705699E-03
429,1.691136E-03
429.5,1.676706E-03
430,1.662406E-03
430.5,1.648236E-03
431,1.634193E-03
431.5,1.620278E-03
432,1.606487E-03
432.5,1.592821E-03
433,1.579279E-03
433.5,1.565858E-03
434,1.552558E-03
434.5,1.539378E-03
435,1.526316E-03
435.5,1.513372E-03
436,1.500544E-03
436.5,1.487831E-03
437,1.475232E-03
437.5,1.462746E-03
438,1.450372E-03
438.5,1.438109E-03
439,1.425955E-03
439.5,1.413911E-03
440,1.401973E-03
440.5,1.390143E-03
441,1.378418E-03
441.5,1.366797E-03
442,1.355281E-03
442.5,1.343867E-03
443,1.332555E-03
443.5,1.321343E-03
444,1.310232E-03
444.5,1.299219E-03
445,1.288303E-03
445.5,1.277485E-03
446,1.266764E-03
446.5,1.256136E-03
447,1.245604E-03
447.5,1.235165E-03
448,1.224818E-03
448.5,1.214563E-03
449,1.204397E-03
449.5,1.194323E-03
450,1.184338E-03
450.5,1.174440E-03
451,1.164630E-03
451.5,1.154907E-03
452,1.145270E-03
452.5,1.135717E-03
453,1.126249E-03
453.5,1.116863E-03
454,1.107561E-03
454.5,1.098341E-03
455,1.089201E-03
455.5,1.080142E-03
456,1.071162E-03
456.5,1.062262E-03
457,1.053439E-03
457.5,1.044694E-03
458,1.036025E-03
458.5,1.027433E-03
459,1.018915E-03
459.5,1.010472E-03
460,1.002103E-03
460.5,9.938076E-04
461,9.855837E-04
461.5,9.774321E-04
462,9.693522E-04
462.5,9.613420E-04
463,9.534026E-04
463.5,9.455315E-04
464,9.377293E-04
464.5,9.299950E-04
465,9.223283E-04
465.5,9.147285E-04
466,9.071941E-04
466.5,8.997258E-04
467,8.923219E-04
